,portfolio
2009-01-23,-0.002884304470699245
2009-01-26,0.015169340509656893
2009-01-27,-0.009402450681599976
2009-01-28,-0.017539435663059665
2009-01-29,-0.0032138857983428056
2009-01-30,0.005682951410718549
2009-02-02,-0.011979780705885196
2009-02-03,-0.0018619063855875387
2009-02-04,0.00570262973512719
2009-02-05,0.003555654362457579
2009-02-06,-0.000191584731353799
2009-02-09,0.005774459734372775
2009-02-10,0.012974624092198175
2009-02-11,-0.0038900953395967514
2009-02-12,-0.019803092809200177
2009-02-13,0.013661837023839194
2009-02-17,-0.0030919766560025615
2009-02-18,-0.01478833723280157
2009-02-19,0.00714813945508809
2009-02-20,-0.002952701038311757
2009-02-23,0.0025739485845707646
2009-02-24,-0.011654326692072451
2009-02-25,-0.010271608335551198
2009-02-26,-0.009436594498722367
2009-02-27,-0.003875580713675622
2009-03-02,-0.007428978366457263
2009-03-03,0.0006086345508343424
2009-03-04,0.012561486144220323
2009-03-05,-0.003059331794134321
2009-03-06,-0.009444100745033483
2009-03-09,-0.0030031136905222253
2009-03-10,0.010025500850338626
2009-03-11,0.015269048224698633
2009-03-12,-0.0008674843544826448
2009-03-13,-0.011167489948902504
2009-03-16,0.002217891471076999
2009-03-17,0.033070148246126946
2009-03-18,0.0001719876092707985
2009-03-19,-0.009662118706074594
2009-03-20,0.007950905605692933
2009-03-23,-0.000994173867477792
2009-03-24,-0.0038043413826618485
2009-03-25,0.011462427820472012
2009-03-26,-0.0020613842722829985
2009-03-27,-0.007127184429867569
2009-03-30,0.006957555845469683
2009-03-31,0.01126462910740446
2009-04-01,-0.005102995494807564
2009-04-02,-0.012541700303132047
2009-04-03,-0.009008121460242317
2009-04-06,-0.0008617310757373545
2009-04-07,0.007459175900745957
2009-04-08,0.0006548501007257229
2009-04-09,0.008665052805283575
2009-04-13,-0.0018212863145342323
2009-04-14,0.0016210817241246584
2009-04-15,-0.00485052873672297
2009-04-16,-0.006312782394677896
2009-04-17,0.002802426568020723
2009-04-20,-0.0016932572645631293
2009-04-21,-0.00406437205160723
2009-04-22,0.004950151751041789
2009-04-23,-0.0008687289226395024
2009-04-24,-0.0009724567359642748
2009-04-27,-0.013068887508934323
2009-04-28,0.0005719310160359247
2009-04-29,-0.0043973244404223195
2009-04-30,-0.003565967422576432
2009-05-01,0.012891659066908097
2009-05-04,-0.002278246348988857
2009-05-05,0.004990613934225547
2009-05-06,-0.018192521133789337
2009-05-07,0.007724439049441053
2009-05-08,0.0036321471172548244
2009-05-11,0.003451672754961569
2009-05-12,0.0014608385214351864
2009-05-13,0.00414561126052383
2009-05-14,-0.0010458021616133433
2009-05-15,-0.0053218192485729576
2009-05-18,-0.0022982262119251914
2009-05-19,0.007216283049041525
2009-05-20,-0.015551575057722943
2009-05-21,-0.0066244371523194
2009-05-22,-0.004145283818995139
2009-05-26,-0.015341196495894566
2009-05-27,0.013209948228582534
2009-05-28,0.02284874139984671
2009-05-29,-0.013520353482999712
2009-06-01,0.004568944987458711
2009-06-02,-0.0008510085065832384
2009-06-03,-0.007059908814613113
2009-06-04,-0.009245042523849962
2009-06-05,-0.0027426585869523286
2009-06-08,0.0015763018209279103
